id,length,width,height,weight,type,cost,volume,fitness
"P-252, P-365, P-346",110,95,219,556,Priority,,2006400,2.0342465485670638
"P-215, P-299",80,87,172,252,Priority,,1238880,1.4617522519137434
P-165,103,96,93,267,Priority,,919584,1.4563766823290272
"P-82, P-283",97,66,171,260,Priority,,909084,1.323171971071834
"P-277, P-285",108,54,186,186,Priority,,1224720,1.2828194080673638
P-297,103,101,68,149,Priority,,707404,1.2750971410912446
P-211,96,95,81,142,Priority,,738720,1.2666791806771522
"P-217, P-226",72,74,138,194,Priority,,831168,1.2541963301833847
P-356,77,99,95,133,Priority,,724185,1.2431081041984595
"P-2, P-224",56,99,149,106,Priority,,898128,1.2336119581191762
"P-106, P-282",92,54,197,200,Priority,,894240,1.2321760307014304
"P-9, P-222",88,73,112,100,Priority,,912208,1.2251995607040624
P-36,86,80,78,146,Priority,,536640,1.2213282091118656
P-134,80,88,97,150,Priority,,682880,1.2194536378585414
P-105,80,95,103,225,Priority,,782800,1.2077830612315432
P-274,75,88,110,114,Priority,,726000,1.1643784247739606
P-125,68,85,91,139,Priority,,525980,1.1509688728285785
P-168,68,87,88,109,Priority,,520608,1.1509421906025017
P-255,64,98,96,78,Priority,,602112,1.1304491651871953
P-73,104,86,63,79,Priority,,563472,1.1277792424849367
"P-126, P-350",60,85,133,188,Priority,,652800,1.1204882866428028
P-394,109,90,81,68,Priority,,794610,1.117153430459475
P-273,85,79,71,127,Priority,,476765,1.1090077730385486
P-139,96,84,75,123,Priority,,604800,1.1034955699251316
P-20,88,106,56,71,Priority,,522368,1.0880260396866974
P-145,75,106,79,66,Priority,,628050,1.0850599347113083
P-300,97,69,101,57,Priority,,675993,1.0832405221742127
P-133,63,109,91,174,Priority,,624897,1.0722085042208251
P-45,91,72,81,92,Priority,,530712,1.0718603759156884
P-94,67,98,66,95,Priority,,433356,1.0645405493002316
"P-266, P-280",53,61,178,74,Priority,,569008,1.0517471266458003
P-103,44,78,102,84,Priority,,350064,1.0474733750170082
P-142,92,74,83,169,Priority,,565064,1.0470728662353863
P-50,73,104,64,75,Priority,,485888,1.0390920529106544
P-264,60,68,108,35,Priority,,440640,1.0378569875676813
P-366,56,71,105,112,Priority,,417480,1.0364716969609982
P-333,100,85,72,59,Priority,,612000,1.0350159446581733
P-124,54,104,72,96,Priority,,404352,1.0307145490178882
"P-147, P-162",65,46,159,72,Priority,,328900,1.027062434727308
P-68,92,46,81,62,Priority,,342792,1.0213808090341447
"P-69, P-187",84,54,125,114,Priority,,426384,1.0179631028781309
"P-6, P-236",56,91,84,94,Priority,,856128,1.0170259678076332
P-16,48,93,63,82,Priority,,281232,1.014113287140229
P-320,64,53,57,55,Priority,,193344,1.0065706939660415
P-216,44,64,83,57,Priority,,233728,1.0055356294550835
P-238,50,69,102,74,Priority,,351900,1.0051917846342162
P-180,80,71,59,43,Priority,,335120,1.0044488648920988
P-15,84,49,60,57,Priority,,246960,1.0039233091348336
P-319,48,102,101,144,Priority,,494496,1.0024836450964076
P-17,83,63,57,29,Priority,,298053,0.9940843253284171
P-41,104,90,68,72,Priority,,636480,0.9919287995096682
P-212,105,74,48,96,Priority,,372960,0.9812784506013011
P-275,74,77,45,31,Priority,,256410,0.9801654964513474
P-181,98,58,57,93,Priority,,323988,0.9799862816222851
P-136,47,66,102,36,Priority,,316404,0.9782362656861409
P-42,62,109,41,46,Priority,,277078,0.9769212631027385
"P-270, P-284",52,70,157,24,Priority,,342160,0.9729285497139999
P-199,58,67,73,59,Priority,,283678,0.9705039989357043
P-345,43,78,47,43,Priority,,157638,0.968779870509831
P-352,89,43,66,32,Priority,,252582,0.9679351092172298
P-163,49,83,83,45,Priority,,337561,0.9589636256175424
P-10,88,70,85,81,Priority,,523600,0.9573174310240082
P-304,51,68,89,31,Priority,,308652,0.9556613023543984
P-157,88,88,54,30,Priority,,418176,0.9539613654016063
P-353,66,61,70,33,Priority,,281820,0.9519054731072046
P-23,51,50,110,59,Priority,,280500,0.9507223571398127
P-71,99,43,60,41,Priority,,255420,0.9501010446587375
P-129,110,59,85,64,Priority,,551650,0.9392845334475967
P-214,58,81,61,40,Priority,,286578,0.9361144970091195
P-219,94,61,76,57,Priority,,435784,0.935051381140846
P-232,67,84,47,38,Priority,,264516,0.9289517200746675
P-49,69,40,100,55,Priority,,276000,0.9280163037583429
P-46,71,62,94,39,Priority,,413788,0.92002589902329
P-117,52,49,65,33,Priority,,165620,0.9184973694848029
P-360,80,76,53,23,Priority,,322240,0.9125186597252523
P-150,54,42,58,12,Priority,,131544,0.904984277715149
P-109,98,79,44,53,Priority,,340648,0.9042086707111411
P-183,105,72,57,37,Priority,,430920,0.888629857311157
P-86,65,63,41,50,Priority,,167895,0.882748565133544
P-265,47,60,58,37,Priority,,163560,0.8817729115508008
P-3,42,101,51,17,Priority,,216342,0.8788569019825154
P-295,49,109,69,32,Priority,,368529,0.8778582286055666
P-148,67,100,49,50,Priority,,328300,0.8623655953750589
P-112,63,79,67,20,Priority,,333459,0.8545718537494056
P-207,70,45,95,46,Priority,,299250,0.8525682726374542
P-329,94,65,58,26,Priority,,354380,0.8278834860652923
P-188,86,51,51,12,Priority,,223686,0.8208449196482815
P-310,65,59,43,15,Priority,,164905,0.773963839484835
